cell_id,cell_lat,cell_lon,centroid_lat,centroid_lon
12.100000000000001_75.7,12.100000000000001,75.7,12.150000000000002,75.75
13.3_75.0,13.3,75.0,13.350000000000001,75.05
12.3_75.8,12.3,75.8,12.350000000000001,75.85
8.1_77.4,8.1,77.4,8.15,77.45
15.3_73.9,15.3,73.9,15.350000000000001,73.95
12.700000000000001_75.60000000000001,12.700000000000001,75.60000000000001,12.750000000000002,75.65
10.3_76.9,10.3,76.9,10.350000000000001,76.95
12.8_75.3,12.8,75.3,12.850000000000001,75.35
13.200000000000001_75.10000000000001,13.200000000000001,75.10000000000001,13.250000000000002,75.15
15.200000000000001_73.9,15.200000000000001,73.9,15.250000000000002,73.95
15.200000000000001_76.4,15.200000000000001,76.4,15.250000000000002,76.45
9.4_77.5,9.4,77.5,9.450000000000001,77.55
9.5_76.60000000000001,9.5,76.60000000000001,9.55,76.65
10.100000000000001_76.4,10.100000000000001,76.4,10.150000000000002,76.45
16.3_73.5,16.3,73.5,16.35,73.55
15.600000000000001_73.8,15.600000000000001,73.8,15.650000000000002,73.85
13.3_74.60000000000001,13.3,74.60000000000001,13.350000000000001,74.65
15.4_73.8,15.4,73.8,15.450000000000001,73.85
14.200000000000001_74.4,14.200000000000001,74.4,14.250000000000002,74.45
15.700000000000001_74.0,15.700000000000001,74.0,15.750000000000002,74.05
11.700000000000001_75.5,11.700000000000001,75.5,11.750000000000002,75.55
11.5_75.5,11.5,75.5,11.55,75.55
12.0_76.10000000000001,12.0,76.10000000000001,12.05,76.15
8.5_77.4,8.5,77.4,8.55,77.45
9.3_76.4,9.3,76.4,9.350000000000001,76.45
15.200000000000001_74.5,15.200000000000001,74.5,15.250000000000002,74.55
14.600000000000001_74.8,14.600000000000001,74.8,14.650000000000002,74.85
15.5_73.8,15.5,73.8,15.55,73.85
14.9_74.60000000000001,14.9,74.60000000000001,14.950000000000001,74.65
10.200000000000001_76.2,10.200000000000001,76.2,10.250000000000002,76.25
11.200000000000001_76.0,11.200000000000001,76.0,11.250000000000002,76.05
14.9_74.7,14.9,74.7,14.950000000000001,74.75
14.0_76.5,14.0,76.5,14.05,76.55
14.4_74.4,14.4,74.4,14.450000000000001,74.45
15.100000000000001_74.4,15.100000000000001,74.4,15.150000000000002,74.45
11.100000000000001_75.8,11.100000000000001,75.8,11.150000000000002,75.85
16.8_74.5,16.8,74.5,16.85,74.55
17.0_73.60000000000001,17.0,73.60000000000001,17.05,73.65
11.9_75.8,11.9,75.8,11.950000000000001,75.85
17.0_73.2,17.0,73.2,17.05,73.25
11.3_75.8,11.3,75.8,11.350000000000001,75.85
9.5_76.9,9.5,76.9,9.55,76.95
12.200000000000001_76.60000000000001,12.200000000000001,76.60000000000001,12.250000000000002,76.65
